採集日期,基準地址,店家代碼,店家名稱,採集狀態,商品總數,評分,評價數,原始JSON檔案,店家網址
2026-08-25,台北市士林區中山北路七段81巷,3d1e41ccf3180b10f8ad390403bae2e2,豬大郎豬血糕 大直店,SUCCESS,15,4.8,330,20260825232752_3d1e41cc_豬大郎豬血糕_大直店.json,https://www.ubereats.com/tw/store/%E8%B1%AC%E5%A4%A7%E9%83%8E%E8%B1%AC%E8%A1%80%E7%B3%95-%E5%A4%A7%E7%9B%B4%E5%BA%97/VZG0Um1wQpep_ciopSsT_Q
2026-08-25,台北市士林區中山北路七段81巷,f6b08ddb50cad0832ba120f69090213c,康廚魯肉飯,SUCCESS,12,4.5,700,20260825232752_f6b08ddb_康廚魯肉飯.json,https://www.ubereats.com/tw/store/%E5%BA%B7%E5%BB%9A%E9%AD%AF%E8%82%89%E9%A3%AF/2lIMZPieRiSXzPc1Jg6wSQ
2026-08-25,台北市士林區中山北路七段81巷,06e441c0782b8807f35ed8350be595ec,林記海鮮麵食料理,SUCCESS,7,4.4,220,20260825232752_06e441c0_林記海鮮麵食料理.json,https://www.ubereats.com/tw/store/%E6%9E%97%E8%A8%98%E6%B5%B7%E9%AE%AE%E9%BA%B5%E9%A3%9F%E6%96%99%E7%90%86/4fxTp1FeUH2xknFozfvnKg
2026-08-25,台北市士林區中山北路七段81巷,385d73ed2ebc2a96fff95b7642c690aa,小丸子美好食光,SUCCESS,146,3.8,180,20260825232752_385d73ed_小丸子美好食光.json,https://www.ubereats.com/tw/store/%E5%B0%8F%E4%B8%B8%E5%AD%90%E7%BE%8E%E5%A5%BD%E9%A3%9F%E5%85%89/w117fYyhTEGk2S9W7-DhQg
2026-08-25,台北市士林區中山北路七段81巷,8e173645d7a6185b6528bf6dcde5333a,得意速食店,SUCCESS,295,4.7,900,20260825232752_8e173645_得意速食店.json,https://www.ubereats.com/tw/store/%E5%BE%97%E6%84%8F%E9%80%9F%E9%A3%9F%E5%BA%97/rSH0v6BsRmy6uvyJNONCZA
2026-08-25,台北市士林區中山北路七段81巷,3c42c479ebdeefbf2b9742a114870e4f,康廚鮮魚湯專賣店,SUCCESS,22,4.6,4000,20260825232752_3c42c479_康廚鮮魚湯專賣店.json,https://www.ubereats.com/tw/store/%E5%BA%B7%E5%BB%9A%E9%AE%AE%E9%AD%9A%E6%B9%AF%E5%B0%88%E8%B3%A3%E5%BA%97/ojDa9ij_RLKT63WO5X1Emg
2026-08-25,台北市士林區中山北路七段81巷,aeb6f5762b828372c3440f48521fdca0,吃冰喝涼,SUCCESS,8,,,20260825232752_aeb6f576_吃冰喝涼.json,https://www.ubereats.com/tw/store/%E5%90%83%E5%86%B0%E5%96%9D%E6%B6%BC/wHMwdt82Wsa29nLUOPclAA
2026-08-25,台北市士林區中山北路七段81巷,53a80b8e5af74d87312631bd3c84433b,川妹子麻辣加熱滷味,SUCCESS,30,4.4,69,20260825232752_53a80b8e_川妹子麻辣加熱滷味.json,https://www.ubereats.com/tw/store/%E5%B7%9D%E5%A6%B9%E5%AD%90%E9%BA%BB%E8%BE%A3%E5%8A%A0%E7%86%B1%E6%BB%B7%E5%91%B3/OKyisLEmVa2umlOZz-PXLA
2026-08-25,台北市士林區中山北路七段81巷,816b2279c034dac50e9474864079390a,廣生堂幸福燕窩(台北天母店),SUCCESS,51,5,2,20260825232752_816b2279_廣生堂幸福燕窩(台北天母店).json,https://www.ubereats.com/tw/store/%E5%BB%A3%E7%94%9F%E5%A0%82%E5%B9%B8%E7%A6%8F%E7%87%95%E7%AA%A9%E5%8F%B0%E5%8C%97%E5%A4%A9%E6%AF%8D%E5%BA%97/ltSI9oJrWJOaqjtgW1-u4w
2026-08-25,台北市士林區中山北路七段81巷,d41b64b05e11d4f24b59f5a57cc304de,二水三京 涼心事業 冰的專門店,SUCCESS,113,4.8,4000,20260825232752_d41b64b0_二水三京_涼心事業_冰的專門店.json,https://www.ubereats.com/tw/store/%E4%BA%8C%E6%B0%B4%E4%B8%89%E4%BA%AC-%E6%B6%BC%E5%BF%83%E4%BA%8B%E6%A5%AD-%E5%86%B0%E7%9A%84%E5%B0%88%E9%96%80%E5%BA%97/ECgxEoqeWueBBVEJhgeOMg
2026-08-25,台北市士林區中山北路七段81巷,7e79c3da251973e85b1851e5a9a53845,壹足燒肉,SUCCESS,5,,,20260825232752_7e79c3da_壹足燒肉.json,https://www.ubereats.com/tw/store/%E5%A3%B9%E8%B6%B3%E7%87%92%E8%82%89/CVosyYwQWhGTNfm70ISBjQ
2026-08-25,台北市士林區中山北路七段81巷,98bbae39fbb4fb90071cfab277c95e0c,盆空間 Flower & Plant Studio,SUCCESS,25,5,2,20260825232752_98bbae39_盆空間_Flower_&_Plant_Studio.json,https://www.ubereats.com/tw/store/%E7%9B%86%E7%A9%BA%E9%96%93-flower-%26-plant-studio/M5u9qR6zXEeoCGxZHjIQyg
2026-08-25,台北市士林區中山北路七段81巷,f3d90d1bc64899304c41e51fc1c10bd6,雪坊 SNOW FACTORY 天玉門市,SUCCESS,52,4.8,12,20260825232752_f3d90d1b_雪坊_SNOW_FACTORY_天玉門市.json,https://www.ubereats.com/tw/store/%E9%9B%AA%E5%9D%8A-snow-factory-%E5%A4%A9%E7%8E%89%E9%96%80%E5%B8%82/0X2eObRHUfuMihbTVsr7pg
2026-08-25,台北市士林區中山北路七段81巷,341ae2daea98bc576e8582f3e8900939,美廉社 士林中山北店,SUCCESS,75,4.9,13,20260825232752_341ae2da_美廉社_士林中山北店.json,https://www.ubereats.com/tw/store/%E7%BE%8E%E5%BB%89%E7%A4%BE-%E5%A3%AB%E6%9E%97%E4%B8%AD%E5%B1%B1%E5%8C%97%E5%BA%97/9vldfBZsXs-F8eBxeBKK8w
2026-08-25,台北市士林區中山北路七段81巷,71b7e884f12b3467011263e4bb0e90f4,美珍香 士林店,SUCCESS,56,4.9,250,20260825232752_71b7e884_美珍香_士林店.json,https://www.ubereats.com/tw/store/%E7%BE%8E%E7%8F%8D%E9%A6%99-%E5%A3%AB%E6%9E%97%E5%BA%97/jh-EpzEwRi-X2LQyf0I6bw
2026-08-25,台北市士林區中山北路七段81巷,fde28b6ebc84480f813cda7d0dc75252,金吉利寵物精品(天母店),SUCCESS,48,,,20260825232752_fde28b6e_金吉利寵物精品(天母店).json,https://www.ubereats.com/tw/store/%E9%87%91%E5%90%89%E5%88%A9%E5%AF%B5%E7%89%A9%E7%B2%BE%E5%93%81%E5%A4%A9%E6%AF%8D%E5%BA%97/CUHRWvYgWXCwSrnt9ibMfw
